DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	1	8983350390	7552209020	STOPPER;RUBBER,SUB SPRING                         	98335039	002	4	N/A                           				                                                  	                              	8983350390                                                                                                                                            			4JKC68              	4K5796  			A                             			55220902  	002	11902	4817	UG_7552209021_4K5796_250311.xml
ISZ	1	ARJ62089	7552209020	WELD_ARC;PIN_SHOCK_ABS                            	ARJ62089	002	1	N/A                           				                                                  	                              	UPC=2B VN12 1/2X &V4T 4.0t                                                                                                                            		2B   	4J-Z178             	4K5796  		31-May-06	A                             			55220902  	002	11860	4818	UG_7552209021_4K5796_250311.xml
ISZ	1	8980324880	7552209020	BRACKET;RR SPR RR,LH                              	98032488	001	1	XFCD450                       				                                                  	                              	898032488 DWG;898032487 UPC;2B                                                                                                                        		2B   		4K5796  			A                             			55220902  	002	11912	4819	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ08688	8980324880	NO_PNO_BRACKET;RR SPG RR                          	ARJ08688	001	1	N/A                           				                                                  	                              	Common Data UPC=2B                                                                                                                                    		2B   		4K5796  			A                             			55220902  	002	11913	4820	UG_7552209021_4K5796_250311.xml
ISZ	1	8980324890	7552209020	BRACKET;RR SPR RR,RH                              	98032489	001	1	XFCD450                       				                                                  	                              	898032489 DWG;898032487 UPC;2B                                                                                                                        		2B   		4K5796  			A                             			55220902  	002	11914	4821	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ08688	8980324890	NO_PNO_BRACKET;RR SPG RR                          	ARJ08688	001	1	N/A                           				                                                  	                              	Common Data UPC=2B                                                                                                                                    		2B   		4K5796  			A                             			55220902  	002	11915	4822	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510260	7552209020	RIVET;RD-HD,CHAM-PNT                              	94004979	001	22	S12C,SWCH12A,-K               				                                                  	                              	906751026 ISD-E01-001 d10xL26                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11960	4823	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510240	7552209020	RIVET;RD-HD,CHAM-PNT                              	94006174	001	12	S12C,SWCH12A,-K               				                                                  	                              	906751024 ISD-E01-001 d10xL24                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11948	4824	UG_7552209021_4K5796_250311.xml
ISZ	1	8942580682	7552209020	GUSSET;6TH CROSS MEMBER                           	94258068	004	2	SS400P-P OR DSS400P-P         				                                                  	                              	894258068 UPC;2B DWG_898034654Z TABLE_CAG58012                                                                                                        		2B   	4K4637              	4K5796  			A                             			55220902  	002	11919	4825	UG_7552209021_4K5796_250311.xml
ISZ	1	8942580692	7552209020	GUSSET;6TH CROSS MEMBER,LH                        	94258069	003	2	SS400P-P or DSS400-P          				                                                  	                              	894258069 UPC;2B DWG_898034654Z TABLE_CAG58012                                                                                                        		2B   	4JJL12              	4K5796  			A                             			55220902  	002	11917	4826	UG_7552209021_4K5796_250311.xml
ISZ	1	8973847451	7552209020	CROSSMEMBER;6TH                                   	97384745	006	1	JSH440W-OP                    				                                                  	                              	897384745 UPC;2B 720_1/2X                                                                                                                             				4K5796  			A                             			55220902  	002	11920	4827	UG_7552209021_4K5796_250311.xml
ISZ	1	8980062100	7552209020	STIFFENER;BUMP RUBBER                             	98006210	002	2	SS400P OR DSS400P             				                                                  	                              	898006210 UPC=2B 720_1/2X(5.3mm)                                                                                                                      		2B   	4J-AE86             	4K5796  		16-Nov-06	A                             			55220902  	002	11961	4828	UG_7552209021_4K5796_250311.xml
ISZ	1	8980118613	7552209020	CROSSMEMBER;5TH                                   	98011861	007	1	JSH440W-OP                    				                                                  	                              	898011861 DWG_898035110Z UPC;2B 720_1/2X                                                                                                              		2B   	4JJK37              	4K5796  			A                             			55220902  	002	11949	4829	UG_7552209021_4K5796_250311.xml
ISZ	1	8980118631	7552209020	GUSSET;5TH_C/MBR                                  	98011863	005	4	SS400P-P or DSS400P-P         				                                                  	                              	898011863 UPC;2B 720_1X_2X DWG_755242328Z                                                                                                             		2B   		4K5796  			A                             			55220902  	002	11924	4830	UG_7552209021_4K5796_250311.xml
ISZ	1	8980291260	7552209020	BRKT;FT SPR FT,LH                                 	98029126	002	1	N/A                           				                                                  	                              	898029126A UPC=B                                                                                                                                      		2B   		4K5796  			A                             			55220902  	002	11962	4831	UG_7552209021_4K5796_250311.xml
ISZ	2	APW53501	8980291260	COMMON_BRKT;FT SPG FT                             	APW53501	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         		2B   		4K5796  			A                             			55220902  	002	11963	4832	UG_7552209021_4K5796_250311.xml
ISZ	3	APW52720	APW53501	COMMON_BRKT;PARTS3                                	APW52720	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         		2B   		4K5796  			A                             			55220902  	002	11964	4833	UG_7552209021_4K5796_250311.xml
ISZ	3	APW53492	APW53501	COMMON_BRKT;PARTS1                                	APW53492	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         				4K5796  			A                             			55220902  	002	11966	4834	UG_7552209021_4K5796_250311.xml
ISZ	3	APW53496	APW53501	BRKT;PARTS2                                       	APW53496	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         		2B   		4K5796  			A                             			55220902  	002	11965	4835	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510320	7552209020	RIVET;RD-HD,CHAM-PNT                              	94006176	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751032 ISD-E01-001 d10xL32                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11968	4836	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510360	7552209020	RIVET;RD-HD,CHAM-PNT                              	94006177	001	2	S12C OR SWCH12A OR SWCH12K    				                                                  	                              	906751036 ISD-E01-001 d10xL36                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11970	4837	UG_7552209021_4K5796_250311.xml
ISZ	1	8980291270	7552209020	BRKT;FT SPR FT,RH                                 	98029127	002	1	N/A                           				                                                  	                              	898029127A UPC=B                                                                                                                                      		2B   		4K5796  			A                             			55220902  	002	11971	4838	UG_7552209021_4K5796_250311.xml
ISZ	2	APW53501	8980291270	COMMON_BRKT;FT SPG FT                             	APW53501	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         		2B   		4K5796  			A                             			55220902  	002	11972	4839	UG_7552209021_4K5796_250311.xml
ISZ	3	APW52720	APW53501	COMMON_BRKT;PARTS3                                	APW52720	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         		2B   		4K5796  			A                             			55220902  	002	11973	4840	UG_7552209021_4K5796_250311.xml
ISZ	3	APW53492	APW53501	COMMON_BRKT;PARTS1                                	APW53492	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         				4K5796  			A                             			55220902  	002	11975	4841	UG_7552209021_4K5796_250311.xml
ISZ	3	APW53496	APW53501	BRKT;PARTS2                                       	APW53496	002	1	N/A                           				                                                  	                              	COMMON UPC=2B                                                                                                                                         		2B   		4K5796  			A                             			55220902  	002	11974	4842	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510320	7552209020	RIVET;RD-HD,CHAM-PNT                              	94006176	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751032 ISD-E01-001 d10xL32                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11977	4843	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510360	7552209020	RIVET;RD-HD,CHAM-PNT                              	94006177	001	2	S12C OR SWCH12A OR SWCH12K    				                                                  	                              	906751036 ISD-E01-001 d10xL36                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11979	4844	UG_7552209021_4K5796_250311.xml
ISZ	1	8942580910	7552209020	BRACKET;FT SPRING,RR                              	94258091	002	1	N/A                           				                                                  	                              	894258091 DWG=898052806 UPC=2B                                                                                                                        		2B   		4K5796  			A                             			55220902  	002	11980	4845	UG_7552209021_4K5796_250311.xml
ISZ	2	AGW01442	8942580910	BRACKET;FT SPRING,RR                              	AGW01442	002	1	N/A                           				                                                  	                              	UPC=2B                                                                                                                                                		2B   		4K5796  			A                             			55220902  	002	11982	4846	UG_7552209021_4K5796_250311.xml
ISZ	2	AGW01446	8942580910	PIPE;FT SPRING,RR                                 	AGW01446	002	1	N/A                           				                                                  	                              	UPC=2B                                                                                                                                                		2B   		4K5796  			A                             			55220902  	002	11981	4847	UG_7552209021_4K5796_250311.xml
ISZ	1	8942580910	7552209020	BRACKET;FT SPRING,RR                              	94258091	002	1	N/A                           				                                                  	                              	894258091 DWG=898052806 UPC=2B                                                                                                                        		2B   		4K5796  			A                             			55220902  	002	11983	4848	UG_7552209021_4K5796_250311.xml
ISZ	2	AGW01442	8942580910	BRACKET;FT SPRING,RR                              	AGW01442	002	1	N/A                           				                                                  	                              	UPC=2B                                                                                                                                                		2B   		4K5796  			A                             			55220902  	002	11985	4849	UG_7552209021_4K5796_250311.xml
ISZ	2	AGW01446	8942580910	PIPE;FT SPRING,RR                                 	AGW01446	002	1	N/A                           				                                                  	                              	UPC=2B                                                                                                                                                		2B   		4K5796  			A                             			55220902  	002	11984	4850	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510300	7552209020	RIVET;RD-HD,CHAM-PNT                              	94004980	001	6	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	11991	4851	UG_7552209021_4K5796_250311.xml
ISZ	1	8983951191	7552209020	CROSSMEMBER;ENGINE MTG                            	98395119	002	1	N/A                           				                                                  	                              	898395119 UPC=2B DWG=898395121Z CROSSMEMBER ASM 1X2X RHD/LHD -FF0 &LND                                                                                				4K5796  			A                             			55220902  	002	11992	4852	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ72245	8983951191	BRACKET;C/MBR_FRT_ENG_MTG_LH_UPR                  	ARJ72245	004	1	JSH440W-OP                    				                                                  	                              	UPC;2B BRACKET;LH_UPR 1X2X RHD/LHD -FF0                                                                                                               		2B   		4K5796  			A                             			55220902  	002	11993	4853	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ72246	8983951191	BRACKET;C/MBR_FRT_ENG_MTG_RH_UPR                  	ARJ72246	003	1	JSH440W-OP                    				                                                  	                              	UPC;2B BRACKET;RH_UPR 1X2X RHD/LHD -FF0                                                                                                               		2B   	4JJL12              	4K5796  			A                             			55220902  	002	11994	4854	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ72258	8983951191	BRACKET;C/MBR_FRT_ENG_MTG_LH_LWR                  	ARJ72258	004	1	JSH440W-OP                    				                                                  	                              	UPC;2B BRACKET;LH_LWR 1X2X RHD/LHD -FF0                                                                                                               		2B   	4JJL12              	4K5796  			A                             			55220902  	002	11995	4855	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ72261	8983951191	BRACKET;C/MBR_FRT_ENG_MTG_RH_LWR                  	ARJ72261	004	1	JSH440W-OP                    				                                                  	                              	UPC;2B BRACKET;RH_LWR 1X2X RHD/LHD -FF0                                                                                                               		2B   	4JJL12              	4K5796  			A                             			55220902  	002	11996	4856	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ72273	8983951191	WELD;ARC,FRT_ENG_MTG                              	ARJ72273	003	1	N/A                           				                                                  	                              	UPC=2B WELD 1X2X RHD/LHD -FFO                                                                                                                         		2B   	4J-Y997             	4K5796  		25-May-06	A                             			55220902  	002	11997	4857	UG_7552209021_4K5796_250311.xml
ISZ	2	BHN50391	8983951191	CROSSMEMBER;FRT_ENG_MTG                           	BHN50391	001	1	STAM440G                      				                                                  	                              	UPC=2B VL04 4JZ1                                                                                                                                      				4K5796  			A                             			55220902  	002	11998	4858	UG_7552209021_4K5796_250311.xml
ISZ	1	8980389623	7552209020	BRACKET;ENGINE SUPPORT,OUTER                      	98038962	005	1	N/A                           				                                                  	                              	898038962 UPC=2B  DGW_898092754Z NKR,NJR,NLR,NMR -FF0 R/L                                                                                             		2B   	4J-AX08             	4K5796  		19-Jun-07	A                             			55220902  	002	11999	4859	UG_7552209021_4K5796_250311.xml
ISZ	2	9091140700	8980389623	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	2	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12002	4860	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ70651	8980389623	NO_PNO_BRACKET;ENG SUPPORT,OUTER                  	ARJ70651	004	1	SS400P OR DSS400P             				                                                  	                              	UPC=2B NKR,NJR,NLR,NMR -FF0 R/L                                                                                                                       		2B   	4J-AP38             	4K5796  		6-Mar-07	A                             			55220902  	002	12000	4861	UG_7552209021_4K5796_250311.xml
ISZ	1	8980389623	7552209020	BRACKET;ENGINE SUPPORT,OUTER                      	98038962	005	1	N/A                           				                                                  	                              	898038962 UPC=2B  DGW_898092754Z NKR,NJR,NLR,NMR -FF0 R/L                                                                                             		2B   	4J-AX08             	4K5796  		19-Jun-07	A                             			55220902  	002	12003	4862	UG_7552209021_4K5796_250311.xml
ISZ	2	9091140700	8980389623	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	2	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12006	4863	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ70651	8980389623	NO_PNO_BRACKET;ENG SUPPORT,OUTER                  	ARJ70651	004	1	SS400P OR DSS400P             				                                                  	                              	UPC=2B NKR,NJR,NLR,NMR -FF0 R/L                                                                                                                       		2B   	4J-AP38             	4K5796  		6-Mar-07	A                             			55220902  	002	12004	4864	UG_7552209021_4K5796_250311.xml
ISZ	1	9067510300	7552209020	RIVET;RD-HD,CHAM-PNT                              	94004980	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220902  	002	12024	4865	UG_7552209021_4K5796_250311.xml
ISZ	1	9067508220	7552209020	RIVET;RD-HD,CHAM-PNT                              	94006172	001	4	S12C,SWCH12A,-K               				                                                  	                              	906750822 ISD-E01-001 d8xL22                                                                                                                          				4K5796  		00-Jan-0000	A                             			55220902  	002	12022	4866	UG_7552209021_4K5796_250311.xml
ISZ	1	0911802100	7552209020	NUT;HEX,FLANGE                                    	94012045	002	4	S45C,S48C,S50C                				                                                  	                              	091180210 ISD-C10-502 M10X1.25                                                                                                                        				4K5796  		1-Mar-06	A                             			55220902  	002	12018	4867	UG_7552209021_4K5796_250311.xml
ISZ	1	0280510300	7552209020	BOLT;HEX-HD,FLANGE(R)/(M)                         	94012255	001	8	SNH-6,SNH-7,SNH-8             				                                                  	                              	028051030 ISD-C01-501 M10x1.25                                                                                                                        				4K5796  			A                             			55220902  	002	12014	4868	UG_7552209021_4K5796_250311.xml
ISZ	1	8981190840	7552209020	BRACKET;ECM,2C/MBR                                	98119084	004	1	N/A                           				                                                  	                              	898119084  VN59 NKR,NMR_NOT FIN (DWG_898170951Z)                                                                                                      		12F  	3JCA82              	4K5796  			A                             			55220902  	002	12025	4869	UG_7552209021_4K5796_250311.xml
ISZ	2	9091140680	8981190840	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	2	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12028	4870	UG_7552209021_4K5796_250311.xml
ISZ	2	ATE95184	8981190840	NO_PNO_BRACKET;ECM,2C/M FIX                       	ATE95184	003	1	SS400 OR SAPH400              				                                                  	                              	VN59 NKR,NMR                                                                                                                                          		12F  	4JCJ07              	4K5796  		18-Mar-10	A                             			55220902  	002	12026	4871	UG_7552209021_4K5796_250311.xml
ISZ	1	AUI76895	7552209020	WELD_ARC;ECM                                      	AUI76895	003	1	N/A                           				                                                  	                              	UPC=2B VN59_1/2X_4X2_-V4F                                                                                                                             		2B   	4JCN80              	4K5796  		28-Jun-10	A                             			55220902  	002	12029	4872	UG_7552209021_4K5796_250311.xml
ISZ	1	8980061761	7552209020	BRACKET;SHOCK ABSORBER RR,LH                      	98006176	003	1	SHOWN                         				                                                  	                              	898006176 DWG_898040697Z UPC;2B                                                                                                                       		2B   	4JJL12              	4K5796  			A                             			55220902  	002	12030	4873	UG_7552209021_4K5796_250311.xml
ISZ	2	8980401771	8980061761	BRACKET;SHOCK AB RR                               	98040177	003	1	JSH440W-OP                    				                                                  	                              	898040177 UPC;2B                                                                                                                                      		2B   		4K5796  			A                             			55220902  	002	12032	4874	UG_7552209021_4K5796_250311.xml
ISZ	2	8980410150	8980061761	PIN;SHOCK AB RR                                   	98041015	002	1	SS400B or SWCH12              				                                                  	                              	898041015 UPC=2B DWG_898041016Z                                                                                                                       		2B   	4J-AE79             	4K5796  		16-Nov-06	A                             			55220902  	002	12033	4875	UG_7552209021_4K5796_250311.xml
ISZ	2	ASD68472	8980061761	WELD                                              	ASD68472	001	1	N/A                           				                                                  	                              	UPC=2B                                                                                                                                                		2B   	4J-AH63             	4K5796  		27-Apr-07	A                             			55220902  	002	12031	4876	UG_7552209021_4K5796_250311.xml
ISZ	1	98006180	7552209020	BRACKET;SHOCK ABSORBER RR                         	98006180	005	1	N/A                           				                                                  	                              	89800618 DWG_898006181Z UPC;2B                                                                                                                        				4K5796  			A                             			55220902  	002	12034	4877	UG_7552209021_4K5796_250311.xml
ISZ	2	8980401781	98006180	BRACKET;SHOCK AB RR                               	98040178	004	1	JSH440W-OP                    				                                                  	                              	898040178 UPC;2B DWG;898484373Z                                                                                                                       			4JJL12              	4K5796  			A                             			55220902  	002	12035	4878	UG_7552209021_4K5796_250311.xml
ISZ	2	8980410150	98006180	PIN;SHOCK AB RR                                   	98041015	002	1	SS400B or SWCH12              				                                                  	                              	898041015 UPC=2B DWG_898041016Z                                                                                                                       		2B   	4J-AE79             	4K5796  		16-Nov-06	A                             			55220902  	002	12036	4879	UG_7552209021_4K5796_250311.xml
ISZ	2	ARJ80659	98006180	WELD                                              	ARJ80659	002	1	YOUSETSU                      				                                                  	                              			2B   		4K5796  			A                             			55220902  	002	12037	4880	UG_7552209021_4K5796_250311.xml
ISZ	1	8978445925	7552209020	CROSSMEMBER ASM;1ST                               	97844592	007	1	N/A                           				                                                  	                              	897844592 VK00 DWG_755242322Z                                                                                                                         			4K4361              	4K5796  			A                             			55220902  	002	12038	4881	UG_7552209021_4K5796_250311.xml
ISZ	2	9091140680	8978445925	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	1	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12039	4882	UG_7552209021_4K5796_250311.xml
ISZ	2	97846427	8978445925	BRACKET;HORN                                      	97846427	001	1	SS400P-P                      				                                                  	                              	897846427                                                                                                                                             		2B   		4K5796  			A                             			55220902  	002	12040	4883	UG_7552209021_4K5796_250311.xml
ISZ	3	9091140880	97846427	NUT;WELD,PROJECTION,TYPE C                        	94009140	002	1	S12C,S20C,S35C,SWRM12         				                                                  	                              	909114088,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12042	4884	UG_7552209021_4K5796_250311.xml
ISZ	3	CAB19358	97846427	BRACKET;HORN                                      	CAB19358	001	1	SS400P-P                      				                                                  	                              	CAB19358                                                                                                                                              		2B   		4K5796  			A                             			55220902  	002	12041	4885	UG_7552209021_4K5796_250311.xml
ISZ	2	9091140700	8978445925	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	2	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12049	4886	UG_7552209021_4K5796_250311.xml
ISZ	2	9091140680	8978445925	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	4	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12052	4887	UG_7552209021_4K5796_250311.xml
ISZ	2	97844593	8978445925	CROSSMEMBER;1ST                                   	97844593	006	1	SS400P-P                      				                                                  	                              	VK00 897844593                                                                                                                                        			4K4361              	4K5796  			A                             			55220902  	002	12050	4888	UG_7552209021_4K5796_250311.xml
ISZ	2	8978464290	8978445925	PIPE;GUIDE,1ST C/MBR                              	97846429	001	3	STKM12B                       				                                                  	                              	897846429 STD700,750 DWG_897846428Z                                                                                                                   		2B   		4K5796  			A                             			55220902  	002	12048	4889	UG_7552209021_4K5796_250311.xml
ISZ	2	97846427	8978445925	BRACKET;HORN                                      	97846427	001	1	SS400P-P                      				                                                  	                              	897846427                                                                                                                                             		2B   		4K5796  			A                             			55220902  	002	12053	4890	UG_7552209021_4K5796_250311.xml
ISZ	3	9091140880	97846427	NUT;WELD,PROJECTION,TYPE C                        	94009140	002	1	S12C,S20C,S35C,SWRM12         				                                                  	                              	909114088,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220902  	002	12055	4891	UG_7552209021_4K5796_250311.xml
