DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	2	0911105140	8978432121	NUT;HEXAGON,METRIC                                	94011998	002	5	S45C,S48C,S50C                				                                                  	                              	091110514 ISD-C10-501 M14X1.5                                                                                                                         				4K5796  		5-Dec-03	A                             			55220822  	002	4358	1641	UG_7552208221_4K5796_250311.xml
ISZ	2	9096445100	8978432121	NUT;WELD                                          	94020050	003	2	8N                            				                                                  	                              	909644510 UPC_2B                                                                                                                                      		2B   		4K5796  			A                             			55220822  	002	4356	1642	UG_7552208221_4K5796_250311.xml
ISZ	2	CAB04172	8978432121	NO_PNO_GUSSET;3RD C/MBR                           	CAB04172	003	1	JSH440W-OP                    				                                                  	                              	CAB04172_TABLE;CAB04012                                                                                                                               				4K5796  			A                             			55220822  	002	4355	1643	UG_7552208221_4K5796_250311.xml
ISZ	1	8978432121	7552208220	GUSSET;3RD C/MBR                                  	97843212	004	1	N/A                           				                                                  	                              	897843212 STD700 4X2_4X4 VK00 DWG_755242320Z                                                                                                          				4K5796  			A                             			55220822  	002	4359	1644	UG_7552208221_4K5796_250311.xml
ISZ	2	0911105140	8978432121	NUT;HEXAGON,METRIC                                	94011998	002	5	S45C,S48C,S50C                				                                                  	                              	091110514 ISD-C10-501 M14X1.5                                                                                                                         				4K5796  		5-Dec-03	A                             			55220822  	002	4366	1645	UG_7552208221_4K5796_250311.xml
ISZ	2	9096445100	8978432121	NUT;WELD                                          	94020050	003	2	8N                            				                                                  	                              	909644510 UPC_2B                                                                                                                                      		2B   		4K5796  			A                             			55220822  	002	4365	1646	UG_7552208221_4K5796_250311.xml
ISZ	2	CAB04172	8978432121	NO_PNO_GUSSET;3RD C/MBR                           	CAB04172	003	1	JSH440W-OP                    				                                                  	                              	CAB04172_TABLE;CAB04012                                                                                                                               				4K5796  			A                             			55220822  	002	4364	1647	UG_7552208221_4K5796_250311.xml
ISZ	1	7552150683	7552208220	CROSSMEMBER ASM;2ND                               	55215068	005	1	N/A                           				                                                  	                              	755215068 DWG_755215067Z VK00                                                                                                                         		2B   		4K5796  			A                             			55220822  	002	4368	1648	UG_7552208221_4K5796_250311.xml
ISZ	2	9091140680	7552150683	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	15	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220822  	002	4383	1649	UG_7552208221_4K5796_250311.xml
ISZ	2	8978446323	7552150683	CROSSMEMBER;2ND                                   	97844632	004	1	JSH440W-OP                    				                                                  	                              	897844632 VK00                                                                                                                                        		2B   		4K5796  			A                             			55220822  	002	4384	1650	UG_7552208221_4K5796_250311.xml
ISZ	1	8978445925	7552208220	CROSSMEMBER ASM;1ST                               	97844592	007	1	N/A                           				                                                  	                              	897844592 VK00 DWG_755242322Z                                                                                                                         			4K4361              	4K5796  			A                             			55220822  	002	4385	1651	UG_7552208221_4K5796_250311.xml
ISZ	2	9091140680	8978445925	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	5	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220822  	002	4386	1652	UG_7552208221_4K5796_250311.xml
ISZ	2	97844593	8978445925	CROSSMEMBER;1ST                                   	97844593	006	1	SS400P-P                      				                                                  	                              	VK00 897844593                                                                                                                                        			4K4361              	4K5796  			A                             			55220822  	002	4387	1653	UG_7552208221_4K5796_250311.xml
ISZ	2	97846427	8978445925	BRACKET;HORN                                      	97846427	001	1	SS400P-P                      				                                                  	                              	897846427                                                                                                                                             		2B   		4K5796  			A                             			55220822  	002	4392	1654	UG_7552208221_4K5796_250311.xml
ISZ	3	9091140880	97846427	NUT;WELD,PROJECTION,TYPE C                        	94009140	002	1	S12C,S20C,S35C,SWRM12         				                                                  	                              	909114088,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220822  	002	4394	1655	UG_7552208221_4K5796_250311.xml
ISZ	3	CAB19358	97846427	BRACKET;HORN                                      	CAB19358	001	1	SS400P-P                      				                                                  	                              	CAB19358                                                                                                                                              		2B   		4K5796  			A                             			55220822  	002	4393	1656	UG_7552208221_4K5796_250311.xml
ISZ	2	9091140700	8978445925	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	2	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220822  	002	4398	1657	UG_7552208221_4K5796_250311.xml
ISZ	2	9091140680	8978445925	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	1	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220822  	002	4399	1658	UG_7552208221_4K5796_250311.xml
ISZ	2	8978464290	8978445925	PIPE;GUIDE,1ST C/MBR                              	97846429	001	1	STKM12B                       				                                                  	                              	897846429 STD700,750 DWG_897846428Z                                                                                                                   		2B   		4K5796  			A                             			55220822  	002	4397	1659	UG_7552208221_4K5796_250311.xml
ISZ	2	CAF48233	8978445925	WELD;ARC                                          	CAF48233	001	1	YOUSETSU                      				                                                  	                              	CAF48233                                                                                                                                              		2B   		4K5796  			A                             			55220822  	002	4396	1660	UG_7552208221_4K5796_250311.xml
ISZ	2	97846427	8978445925	BRACKET;HORN                                      	97846427	001	1	SS400P-P                      				                                                  	                              	897846427                                                                                                                                             		2B   		4K5796  			A                             			55220822  	002	4400	1661	UG_7552208221_4K5796_250311.xml
ISZ	3	9091140880	97846427	NUT;WELD,PROJECTION,TYPE C                        	94009140	002	1	S12C,S20C,S35C,SWRM12         				                                                  	                              	909114088,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220822  	002	4402	1662	UG_7552208221_4K5796_250311.xml
ISZ	3	CAB19358	97846427	BRACKET;HORN                                      	CAB19358	001	1	SS400P-P                      				                                                  	                              	CAB19358                                                                                                                                              		2B   		4K5796  			A                             			55220822  	002	4401	1663	UG_7552208221_4K5796_250311.xml
