DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	7552222870	          	FRAME ASM                                         	55222287	002	1	N/A                           				                                                  	                              	755222287 VK00_NKR5SN_H-WB_4t_4JZ1_DCT_SR6_8PZ_FF0_RHD_3C/M TL;1046_TEMP;BNK40001                                                                     				4K5030  			A                             			55222287  	002	829	286	UG_7552222871_4K5030_240522.xml
ISZ	1	55194326	7552222870	BRKT;CAB EARTH                                    	55194326	002	1	N/A                           				                                                  	                              	755194326                                                                                                                                             			4JKG95              	4K5030  			A                             			55222287  	002	837	287	UG_7552222871_4K5030_240522.xml
ISZ	1	9067510300	7552222870	RIVET;RD-HD,CHAM-PNT                              	94004980	001	6	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5030  			A                             			55222287  	002	835	288	UG_7552222871_4K5030_240522.xml
ISZ	1	CAS39001	7552222870	WELD_ARC;BRKT CAB EARTH,RH                        	CAS39001	001	1	YOUSETSU                      				                                                  	                              	NO_PNO VK00_1X_SMBR;T4.0,T5.3                                                                                                                         			4JJZ45              	4K5030  			A                             			55222287  	002	836	289	UG_7552222871_4K5030_240522.xml
ISZ	2	55202303	CAS39001	BRACKET                                           	55202303	001	1	JSH270C                       				                                                  	                              	CAS51186                                                                                                                                              			3JBZ40              	4K5030  			A                             			55222287  	002	841	290	UG_7552222871_4K5030_240522.xml
ISZ	2	0911105080	CAS39001	NUT;HEXAGON,METRIC                                	94011995	002	1	S45C,S48C,S50C                				                                                  	                              	091110508 ISD-C10-501 M8x1.25                                                                                                                         				4K5030  			A                             			55222287  	002	838	291	UG_7552222871_4K5030_240522.xml
ISZ	2	CAS46155	CAS39001	NO_PNO_BRKT                                       	CAS46155	001	1	JSH270C                       				                                                  	                              	CAS46155                                                                                                                                              			4JKG95              	4K5030  			A                             			55222287  	002	839	292	UG_7552222871_4K5030_240522.xml
ISZ	2	CAS46157	CAS39001	WELD                                              	CAS46157	001	1	N/A                           				                                                  	                              	CAS46157                                                                                                                                              			4JKG95              	4K5030  			A                             			55222287  	002	840	293	UG_7552222871_4K5030_240522.xml
ISZ	2	CAS46160	CAS39001	NO_PNO_BRKT                                       	CAS46160	001	1	JSH270C                       				                                                  	                              	CAS46160                                                                                                                                              			4JKG95              	4K5030  			A                             			55222287  	002	842	294	UG_7552222871_4K5030_240522.xml
ISZ	1	0209514300	7552222870	BOLT;HEX-HD,FULL THREAD                           	94012445	001	10	ASMnB422H                     				                                                  	                              	020951430 ISD-C01-503 M14x1.5                                                                                                                         				4K5030  		2-Dec-02	A                             			55222287  	002	852	295	UG_7552222871_4K5030_240522.xml
ISZ	1	8972799940	7552222870	CROSSMEMBER ASM;3RD,UPR                           	97279994	001	1	N/A                           				                                                  	                              	897279994 DWG_897841366Z VK00 STD700_4X2 W/O_PAINT                                                                                                    			4JJL22              	4K5030  			A                             			55222287  	002	853	296	UG_7552222871_4K5030_240522.xml
ISZ	2	9067510240	8972799940	RIVET;RD-HD,CHAM-PNT                              	94006174	001	9	S12C,SWCH12A,-K               				                                                  	                              	906751024 ISD-E01-001 d10xL24                                                                                                                         				4K5030  		00-Jan-0000	A                             			55222287  	002	864	297	UG_7552222871_4K5030_240522.xml
ISZ	2	8978417071	8972799940	CROSSMEMBER;3RD,UPR                               	97841707	002	1	JSH590R-OP                    				                                                  	                              	897841707 VK00 LWF700 STD700_4X2                                                                                                                      			4JJL22              	4K5030  			A                             			55222287  	002	854	298	UG_7552222871_4K5030_240522.xml
ISZ	2	8978417191	8972799940	PLATE;3RD C/MBR,UPR                               	97841719	002	1	JSH440W-OP                    				                                                  	                              	897841719 DWG_897841718Z VK00 700W                                                                                                                    			4JJL22              	4K5030  			A                             			55222287  	002	855	299	UG_7552222871_4K5030_240522.xml
ISZ	1	8980963131	7552222870	STIFFENER;BRKT,FUEL/TANK                          	98096313	002	1	SS400P OR DSS400P             				                                                  	                              	898096313 UPC=2B DWG_898096311Z STIFFENER 2 NUTS                                                                                                      				4K5030  		24-Jun-13	A                             			55222287  	002	866	300	UG_7552222871_4K5030_240522.xml
ISZ	1	AST77561	7552222870	WELD_ARC;PATCH_F/TANK                             	AST77561	001	1	N/A                           				                                                  	                              	UPC=2B WELD;STIFF,BRKT F/TANK FT LFB                                                                                                                  		2B   		4K5030  		9-Aug-07	A                             			55222287  	002	865	301	UG_7552222871_4K5030_240522.xml
ISZ	2	0911052500	AST77561	NUT;PROJECTION                                    	94010288	002	2	S45C,S48C,S50C                				                                                  	                              	091105250 ISD-C12-001 M10x1.25                                                                                                                        				4K5030  			A                             			55222287  	002	869	302	UG_7552222871_4K5030_240522.xml
ISZ	2	AST69543	AST77561	NO_PNO_STIFFENER                                  	AST69543	002	1	SS400P OR DSS400P             				                                                  	                              	UPC=2B VN12_3X(750)                                                                                                                                   		2B   		4K5030  		24-Jun-13	A                             			55222287  	002	867	303	UG_7552222871_4K5030_240522.xml
ISZ	1	9067510300	7552222870	RIVET;RD-HD,CHAM-PNT                              	94004980	001	4	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5030  			A                             			55222287  	002	872	304	UG_7552222871_4K5030_240522.xml
ISZ	1	8978432121	7552222870	GUSSET;3RD C/MBR                                  	97843212	004	1	N/A                           				                                                  	                              	897843212 STD700 4X2_4X4 VK00 DWG_755242320Z                                                                                                          			4K4637              	4K5030  			A                             			55222287  	002	876	305	UG_7552222871_4K5030_240522.xml
ISZ	1	8978714531	7552222870	CROSSMEMBER;4TH                                   	97871453	004	1	JSH440W-OP                    				                                                  	                              	897871453 VK00 STD700 4CMBR W-O PAINT DWG_755242324Z                                                                                                  			4K4637              	4K5030  			A                             			55222287  	002	875	306	UG_7552222871_4K5030_240522.xml
ISZ	1	8980118613	7552222870	CROSSMEMBER;5TH                                   	98011861	007	1	JSH440W-OP                    				                                                  	                              	898011861 DWG_898035110Z UPC;2B 720_1X_2X_TABLE_CAG42301                                                                                              		2B   	4JJK37              	4K5030  			A                             			55222287  	002	874	307	UG_7552222871_4K5030_240522.xml
ISZ	2	0911105140	8980118613	NUT;HEXAGON,METRIC                                	94011998	002	5	S45C,S48C,S50C                				                                                  	                              	091110514 ISD-C10-501 M14X1.5                                                                                                                         				4K5030  		5-Dec-03	A                             			55222287  	002	884	308	UG_7552222871_4K5030_240522.xml
ISZ	2	9096445100	8980118613	NUT;WELD                                          	94020050	003	2	8N                            				                                                  	                              	909644510 UPC;2B                                                                                                                                      		2B   	4JJL56              	4K5030  			A                             			55222287  	002	882	309	UG_7552222871_4K5030_240522.xml
ISZ	2	CAB04172	8980118613	NO_PNO_GUSSET;3RD C/MBR                           	CAB04172	003	1	JSH440W-OP                    				                                                  	                              	CAB04172_TABLE;CAB04012                                                                                                                               			3JBL47              	4K5030  			A                             			55222287  	002	881	310	UG_7552222871_4K5030_240522.xml
ISZ	1	8978432121	7552222870	GUSSET;3RD C/MBR                                  	97843212	004	1	N/A                           				                                                  	                              	897843212 STD700 4X2_4X4 VK00 DWG_755242320Z                                                                                                          			4K4637              	4K5030  			A                             			55222287  	002	885	311	UG_7552222871_4K5030_240522.xml
ISZ	2	0911105140	8978432121	NUT;HEXAGON,METRIC                                	94011998	002	5	S45C,S48C,S50C                				                                                  	                              	091110514 ISD-C10-501 M14X1.5                                                                                                                         				4K5030  		5-Dec-03	A                             			55222287  	002	893	312	UG_7552222871_4K5030_240522.xml
ISZ	2	9096445100	8978432121	NUT;WELD                                          	94020050	003	2	8N                            				                                                  	                              	909644510 UPC;2B                                                                                                                                      		2B   	4JJL56              	4K5030  			A                             			55222287  	002	891	313	UG_7552222871_4K5030_240522.xml
ISZ	2	CAB04172	8978432121	NO_PNO_GUSSET;3RD C/MBR                           	CAB04172	003	1	JSH440W-OP                    				                                                  	                              	CAB04172_TABLE;CAB04012                                                                                                                               			3JBL47              	4K5030  			A                             			55222287  	002	890	314	UG_7552222871_4K5030_240522.xml
ISZ	1	8978446314	7552222870	CROSSMEMBER ASM;2ND                               	97844631	005	1	N/A                           				                                                  	                              	897844631 DWG_755215067Z VK00                                                                                                                         		2B   	4JLC64              	4K5030  			A                             			55222287  	002	894	315	UG_7552222871_4K5030_240522.xml
ISZ	2	9091140680	8978446314	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	16	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5030  			A                             			55222287  	002	895	316	UG_7552222871_4K5030_240522.xml
ISZ	2	8978446323	8978446314	CROSSMEMBER;2ND                                   	97844632	004	1	JSH440W-OP                    				                                                  	                              	897844632 VK00                                                                                                                                        		2B   	4JLC64              	4K5030  			A                             			55222287  	002	913	317	UG_7552222871_4K5030_240522.xml
ISZ	2	8978446330	8978446314	CLOSING;2ND C/MBR                                 	97844633	001	1	JSH440W-OP                    				                                                  	                              	897844633 VK00                                                                                                                                        		2B   	3JBB96              	4K5030  			A                             			55222287  	002	899	318	UG_7552222871_4K5030_240522.xml
ISZ	2	CAB18309	8978446314	WELD;ARC                                          	CAB18309	001	1	YOUSETSU                      				                                                  	                              	CAB18309                                                                                                                                              		2B   	3JBB96              	4K5030  			A                             			55222287  	002	907	319	UG_7552222871_4K5030_240522.xml
